dataset,num_nodes,num_epochs,local_epochs,graph_type,graph_param,batch_size,samples_per_client,algorithm,attack_percentage,attack_type,lambda,final_compromised_accuracy,final_honest_accuracy,overall_asr,honest_asr,compromised_asr,filename
celeba,20,10,3,erdos,2.0,64,10000,krum,70,directed_deviation,1,0.5172,0.5145,,,,celeba_20_10_3_erdos_02_64_10000_krum_70attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,70,backdoor,1,0.5172,0.5145,1.0,1.0,1.0,celeba_20_10_3_erdos_02_64_10000_krum_70attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,70,gaussian,1,0.517,0.5145,,,,celeba_20_10_3_erdos_02_64_10000_krum_70attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,70,krum,1,0.5172,0.5145,,,,celeba_20_10_3_erdos_02_64_10000_krum_70attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,80,directed_deviation,1,0.516,0.5176,,,,celeba_20_10_3_erdos_02_64_10000_krum_80attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,80,backdoor,1,0.516,0.5176,1.0,1.0,1.0,celeba_20_10_3_erdos_02_64_10000_krum_80attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,80,gaussian,1,0.5101,0.5176,,,,celeba_20_10_3_erdos_02_64_10000_krum_80attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,krum,80,krum,1,0.516,0.5176,,,,celeba_20_10_3_erdos_02_64_10000_krum_80attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,10,directed_deviation,1,0.8915,0.8806,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_10attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,10,backdoor,1,0.5107,0.8806,0.6048,0.5609,1.0,celeba_20_10_3_erdos_02_64_10000_sketchguard_10attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,10,gaussian,1,0.8915,0.8806,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,10,krum,1,0.8915,0.8806,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_10attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,20,directed_deviation,1,0.8835,0.8816,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_20attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,20,backdoor,1,0.5131,0.8816,0.6474,0.5592,1.0,celeba_20_10_3_erdos_02_64_10000_sketchguard_20attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,20,gaussian,1,0.8833,0.8817,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,20,krum,1,0.8835,0.8816,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_20attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,30,directed_deviation,1,0.8857,0.8885,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_30attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,30,backdoor,1,0.5154,0.8885,0.6935,0.5622,1.0,celeba_20_10_3_erdos_02_64_10000_sketchguard_30attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,30,gaussian,1,0.8857,0.8885,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,30,krum,1,0.8857,0.8885,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_30attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,40,directed_deviation,1,0.8909,0.889,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_40attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,40,backdoor,1,0.5124,0.889,0.7406,0.5677,1.0,celeba_20_10_3_erdos_02_64_10000_sketchguard_40attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,40,gaussian,1,0.8909,0.889,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_40attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,40,krum,1,0.8909,0.8893,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_40attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,50,directed_deviation,1,0.8947,0.8995,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_50attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,50,backdoor,1,0.511,0.8995,0.7757,0.5514,1.0,celeba_20_10_3_erdos_02_64_10000_sketchguard_50attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,50,gaussian,1,0.8947,0.8995,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_50attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,50,krum,1,0.8947,0.8995,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_50attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,60,directed_deviation,1,0.8645,0.9008,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_60attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,60,backdoor,1,0.5167,0.9008,0.8197,0.5493,1.0,celeba_20_10_3_erdos_02_64_10000_sketchguard_60attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,60,gaussian,1,0.8645,0.9008,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_60attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,60,krum,1,0.8644,0.901,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_60attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,70,directed_deviation,1,0.8691,0.9042,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_70attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,70,backdoor,1,0.5172,0.9042,0.8634,0.5447,1.0,celeba_20_10_3_erdos_02_64_10000_sketchguard_70attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,70,gaussian,1,0.8691,0.9042,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_70attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,70,krum,1,0.8691,0.9042,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_70attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,80,directed_deviation,1,0.8026,0.9091,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_80attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,80,backdoor,1,0.516,0.9091,0.9092,0.5459,1.0,celeba_20_10_3_erdos_02_64_10000_sketchguard_80attack_backdoor_1lambda.log
